City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,mujiayingzi,42.1167,118.7833,-13.56,90,100,1.66,CN,1702245058
341,abu al matamir,30.9102,30.1744,16.27,49,100,1.93,EG,1702245059
342,gongzhuling,43.5008,124.8198,-13.79,42,100,5.44,CN,1702245059
343,oroqen zizhiqi,50.5667,123.7167,-26.96,90,4,1.72,CN,1702245059
344,okhotsk,59.3833,143.3,-6.45,89,100,1.53,RU,1702244838
345,dombarovskiy,50.7587,59.5386,-18.33,66,7,1.34,RU,1702245016
346,kerikeri,-35.2268,173.9474,19.39,84,81,0.45,NZ,1702245060
347,kone,-21.0595,164.8658,27.83,45,98,3.1,NC,1702245060
348,ulladulla,-35.35,150.4667,25.43,69,100,2.47,AU,1702245060
349,vorkuta,67.5,64.0,-24.75,100,100,2.97,RU,1702245061
350,st. john's,47.5649,-52.7093,-0.12,87,40,1.79,CA,1702244828
351,chengtangcun,35.0771,117.1518,-0.37,94,100,6.59,CN,1702245061
352,orange,33.7,-117.7675,26.83,16,20,2.57,US,1702245061
353,lata,40.1629,-8.3327,15.6,94,20,1.66,PT,1702245062
354,dubbo,-32.25,148.6167,27.07,47,69,3.6,AU,1702245062
355,paracuru,-3.41,-39.0306,27.84,71,91,5.97,BR,1702245063
356,lorengau,-2.0226,147.2712,27.68,83,98,6.22,PG,1702245063
357,sitangkai,4.6628,119.3928,27.67,77,93,1.89,PH,1702245064
358,sanming,26.2486,117.6186,19.82,90,54,1.31,CN,1702245071
359,karratha,-20.7377,116.8463,25.23,19,6,7.69,AU,1702245072
360,chernomorskoye,45.5039,32.6997,6.57,87,100,0.66,UA,1702245072
361,micheweni,-4.9667,39.8333,26.98,81,73,3.51,TZ,1702245073
